Network,Stability Domain $\phi = \frac{5}{4}$,Stability Domain $\phi = \frac{13}{10}$,Stability Domain $\phi = \frac{27}{20}$,Stability Domain $\phi = \frac{7}{5}$,Stability Domain $\phi = \frac{29}{20}$,Stability Domain $\phi = \frac{3}{2}$,Stability Domain $\phi = \frac{31}{20}$,Stability Domain $\phi = \frac{8}{5}$,Stability Domain $\phi = \frac{33}{20}$,Stability Domain $\phi = \frac{17}{10}$,Stability Domain $\phi = \frac{7}{4}$,Stability Domain $\phi = \frac{9}{5}$,Stability Domain $\phi = \frac{37}{20}$,Stability Domain $\phi = \frac{19}{10}$,Stability Domain $\phi = \frac{39}{20}$,Stability Domain $\phi = 2$,Stability Domain $\phi = \frac{41}{20}$,Stability Domain $\phi = \frac{21}{10}$,Stability Domain $\phi = \frac{43}{20}$,Stability Domain $\phi = \frac{11}{5}$,Stability Domain $\phi = \frac{9}{4}$,Stability Domain $\phi = \frac{23}{10}$,Stability Domain $\phi = \frac{47}{20}$,Stability Domain $\phi = \frac{12}{5}$,Stability Domain $\phi = \frac{49}{20}$,Stability Domain $\phi = \frac{5}{2}$,Stability Domain $\phi = \frac{51}{20}$,Stability Domain $\phi = \frac{13}{5}$,Stability Domain $\phi = \frac{53}{20}$,Stability Domain $\phi = \frac{27}{10}$,Stability Domain $\phi = \frac{11}{4}$,Stability Domain $\phi = \frac{14}{5}$,Stability Domain $\phi = \frac{57}{20}$,Stability Domain $\phi = \frac{29}{10}$,Stability Domain $\phi = \frac{59}{20}$,Stability Domain $\phi = 3$,Stability Domain $\phi = \frac{61}{20}$,Stability Domain $\phi = \frac{31}{10}$,Stability Domain $\phi = \frac{63}{20}$,Stability Domain $\phi = \frac{16}{5}$,Stability Domain $\phi = \frac{13}{4}$,Stability Domain $\phi = \frac{33}{10}$,Stability Domain $\phi = \frac{67}{20}$,Stability Domain $\phi = \frac{17}{5}$,Stability Domain $\phi = \frac{69}{20}$,Stability Domain $\phi = \frac{7}{2}$,Stability Domain $\phi = \frac{71}{20}$,Stability Domain $\phi = \frac{18}{5}$,Stability Domain $\phi = \frac{73}{20}$,Stability Domain $\phi = \frac{37}{10}$,Stability Domain $\phi = \frac{15}{4}$,Stability Domain $\phi = \frac{19}{5}$,Stability Domain $\phi = \frac{77}{20}$,Stability Domain $\phi = \frac{39}{10}$,Stability Domain $\phi = \frac{79}{20}$,Stability Domain $\phi = 4$,Stability Domain $\phi = \frac{81}{20}$,Stability Domain $\phi = \frac{41}{10}$,Stability Domain $\phi = \frac{83}{20}$,Stability Domain $\phi = \frac{21}{5}$,Stability Domain $\phi = \frac{17}{4}$,Stability Domain $\phi = \frac{43}{10}$,Stability Domain $\phi = \frac{87}{20}$,Stability Domain $\phi = \frac{22}{5}$,Stability Domain $\phi = \frac{89}{20}$,Stability Domain $\phi = \frac{9}{2}$,Stability Domain $\phi = \frac{91}{20}$,Stability Domain $\phi = \frac{23}{5}$,Stability Domain $\phi = \frac{93}{20}$,Stability Domain $\phi = \frac{47}{10}$,Stability Domain $\phi = \frac{19}{4}$,Stability Domain $\phi = \frac{24}{5}$,Stability Domain $\phi = \frac{97}{20}$,Stability Domain $\phi = \frac{49}{10}$,Stability Domain $\phi = \frac{99}{20}$,Stability Domain $\phi = 5$
E3D [1H3L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
E3E [1H3L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
E3F [1H3L],"\left[0, 0.718\right]","\left[0, 0.714\right]","\left[0, 0.712\right]","\left[0, 0.709\right]","\left[0, 0.708\right]","\left[0, 0.707\right]","\left[0, 0.706\right]","\left[0, 0.704\right]","\left[0, 0.703\right]","\left[0, 0.702\right]","\left[0, 0.702\right]","\left[0, 0.701\right]","\left[0, 0.7\right]","\left[0, 0.7\right]","\left[0, 0.699\right]","\left[0, 0.699\right]","\left[0, 0.699\right]","\left[0, 0.698\right]","\left[0, 0.698\right]","\left[0, 0.698\right]","\left[0, 0.698\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.697\right]","\left[0, 0.698\right]","\left[0, 0.698\right]","\left[0, 0.698\right]","\left[0, 0.698\right]","\left[0, 0.698\right]","\left[0, 0.698\right]","\left[0, 0.698\right]","\left[0, 0.698\right]","\left[0, 0.698\right]","\left[0, 0.698\right]","\left[0, 0.698\right]","\left[0, 0.698\right]","\left[0, 0.698\right]","\left[0, 0.698\right]","\left[0, 0.698\right]","\left[0, 0.698\right]","\left[0, 0.698\right]","\left[0, 0.698\right]","\left[0, 0.698\right]","\left[0, 0.699\right]","\left[0, 0.699\right]","\left[0, 0.699\right]","\left[0, 0.699\right]"
E4A [1H3L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
E4B [1H3L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
E4C [1H3L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
E4D [1H3L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
E5A [1H3L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
E5B [1H3L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
E6A [1H3L],"\left[0.53, 1\right]","\left[0.527, 1\right]","\left[0.524, 1\right]","\left[0.521, 1\right]","\left[0.519, 1\right]","\left[0.517, 1\right]","\left[0.514, 1\right]","\left[0.512, 1\right]","\left[0.511, 1\right]","\left[0.509, 1\right]","\left[0.507, 1\right]","\left[0.506, 1\right]","\left[0.504, 1\right]","\left[0.503, 1\right]","\left[0.502, 1\right]","\left[0.501, 1\right]","\left[0.5, 1\right]","\left[0.5, 1\right]","\left[0.499, 1\right]","\left[0.498, 1\right]","\left[0.497, 1\right]","\left[0.496, 1\right]","\left[0.495, 1\right]","\left[0.494, 1\right]","\left[0.494, 1\right]","\left[0.493, 1\right]","\left[0.492, 1\right]","\left[0.492, 1\right]","\left[0.491, 1\right]","\left[0.491, 1\right]","\left[0.49, 1\right]","\left[0.489, 1\right]","\left[0.489, 1\right]","\left[0.488, 1\right]","\left[0.488, 1\right]","\left[0.487, 1\right]","\left[0.487, 1\right]","\left[0.487, 1\right]","\left[0.486, 1\right]","\left[0.486, 1\right]","\left[0.485, 1\right]","\left[0.485, 1\right]","\left[0.485, 1\right]","\left[0.484, 1\right]","\left[0.484, 1\right]","\left[0.484, 1\right]","\left[0.483, 1\right]","\left[0.483, 1\right]","\left[0.483, 1\right]","\left[0.482, 1\right]","\left[0.482, 1\right]","\left[0.482, 1\right]","\left[0.482, 1\right]","\left[0.481, 1\right]","\left[0.481, 1\right]","\left[0.481, 1\right]","\left[0.481, 1\right]","\left[0.48, 1\right]","\left[0.48, 1\right]","\left[0.48, 1\right]","\left[0.48, 1\right]","\left[0.479, 1\right]","\left[0.479, 1\right]","\left[0.479, 1\right]","\left[0.479, 1\right]","\left[0.479, 1\right]","\left[0.478, 1\right]","\left[0.478, 1\right]","\left[0.478, 1\right]","\left[0.478, 1\right]","\left[0.478, 1\right]","\left[0.478, 1\right]","\left[0.477, 1\right]","\left[0.477, 1\right]","\left[0.477, 1\right]","\left[0.477, 1\right]"
