Network,Stability Domain $\phi = \frac{5}{4}$,Stability Domain $\phi = \frac{13}{10}$,Stability Domain $\phi = \frac{27}{20}$,Stability Domain $\phi = \frac{7}{5}$,Stability Domain $\phi = \frac{29}{20}$,Stability Domain $\phi = \frac{3}{2}$,Stability Domain $\phi = \frac{31}{20}$,Stability Domain $\phi = \frac{8}{5}$,Stability Domain $\phi = \frac{33}{20}$,Stability Domain $\phi = \frac{17}{10}$,Stability Domain $\phi = \frac{7}{4}$,Stability Domain $\phi = \frac{9}{5}$,Stability Domain $\phi = \frac{37}{20}$,Stability Domain $\phi = \frac{19}{10}$,Stability Domain $\phi = \frac{39}{20}$,Stability Domain $\phi = 2$,Stability Domain $\phi = \frac{41}{20}$,Stability Domain $\phi = \frac{21}{10}$,Stability Domain $\phi = \frac{43}{20}$,Stability Domain $\phi = \frac{11}{5}$,Stability Domain $\phi = \frac{9}{4}$,Stability Domain $\phi = \frac{23}{10}$,Stability Domain $\phi = \frac{47}{20}$,Stability Domain $\phi = \frac{12}{5}$,Stability Domain $\phi = \frac{49}{20}$,Stability Domain $\phi = \frac{5}{2}$,Stability Domain $\phi = \frac{51}{20}$,Stability Domain $\phi = \frac{13}{5}$,Stability Domain $\phi = \frac{53}{20}$,Stability Domain $\phi = \frac{27}{10}$,Stability Domain $\phi = \frac{11}{4}$,Stability Domain $\phi = \frac{14}{5}$,Stability Domain $\phi = \frac{57}{20}$,Stability Domain $\phi = \frac{29}{10}$,Stability Domain $\phi = \frac{59}{20}$,Stability Domain $\phi = 3$,Stability Domain $\phi = \frac{61}{20}$,Stability Domain $\phi = \frac{31}{10}$,Stability Domain $\phi = \frac{63}{20}$,Stability Domain $\phi = \frac{16}{5}$,Stability Domain $\phi = \frac{13}{4}$,Stability Domain $\phi = \frac{33}{10}$,Stability Domain $\phi = \frac{67}{20}$,Stability Domain $\phi = \frac{17}{5}$,Stability Domain $\phi = \frac{69}{20}$,Stability Domain $\phi = \frac{7}{2}$,Stability Domain $\phi = \frac{71}{20}$,Stability Domain $\phi = \frac{18}{5}$,Stability Domain $\phi = \frac{73}{20}$,Stability Domain $\phi = \frac{37}{10}$,Stability Domain $\phi = \frac{15}{4}$,Stability Domain $\phi = \frac{19}{5}$,Stability Domain $\phi = \frac{77}{20}$,Stability Domain $\phi = \frac{39}{10}$,Stability Domain $\phi = \frac{79}{20}$,Stability Domain $\phi = 4$,Stability Domain $\phi = \frac{81}{20}$,Stability Domain $\phi = \frac{41}{10}$,Stability Domain $\phi = \frac{83}{20}$,Stability Domain $\phi = \frac{21}{5}$,Stability Domain $\phi = \frac{17}{4}$,Stability Domain $\phi = \frac{43}{10}$,Stability Domain $\phi = \frac{87}{20}$,Stability Domain $\phi = \frac{22}{5}$,Stability Domain $\phi = \frac{89}{20}$,Stability Domain $\phi = \frac{9}{2}$,Stability Domain $\phi = \frac{91}{20}$,Stability Domain $\phi = \frac{23}{5}$,Stability Domain $\phi = \frac{93}{20}$,Stability Domain $\phi = \frac{47}{10}$,Stability Domain $\phi = \frac{19}{4}$,Stability Domain $\phi = \frac{24}{5}$,Stability Domain $\phi = \frac{97}{20}$,Stability Domain $\phi = \frac{49}{10}$,Stability Domain $\phi = \frac{99}{20}$,Stability Domain $\phi = 5$
E3D [3H1L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
E3E [3H1L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
E3F [3H1L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
E4A [3H1L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,"\left[0.47, 0.471\right]","\left[0.467, 0.469\right]","\left[0.464, 0.468\right]","\left[0.461, 0.466\right]","\left[0.458, 0.464\right]","\left[0.457, 0.463\right]","\left[0.454, 0.461\right]","\left[0.452, 0.46\right]","\left[0.449, 0.458\right]","\left[0.447, 0.458\right]","\left[0.445, 0.457\right]","\left[0.443, 0.456\right]","\left[0.441, 0.454\right]","\left[0.439, 0.453\right]","\left[0.437, 0.452\right]","\left[0.436, 0.451\right]","\left[0.434, 0.45\right]","\left[0.432, 0.449\right]","\left[0.431, 0.448\right]","\left[0.429, 0.447\right]","\left[0.428, 0.446\right]","\left[0.426, 0.445\right]","\left[0.425, 0.444\right]","\left[0.423, 0.443\right]","\left[0.422, 0.443\right]","\left[0.421, 0.442\right]","\left[0.42, 0.441\right]","\left[0.418, 0.44\right]","\left[0.417, 0.44\right]","\left[0.417, 0.439\right]","\left[0.416, 0.438\right]","\left[0.415, 0.438\right]","\left[0.414, 0.437\right]","\left[0.413, 0.436\right]","\left[0.412, 0.436\right]","\left[0.411, 0.435\right]","\left[0.41, 0.434\right]","\left[0.409, 0.434\right]","\left[0.408, 0.433\right]","\left[0.407, 0.433\right]","\left[0.406, 0.432\right]","\left[0.406, 0.432\right]","\left[0.405, 0.431\right]","\left[0.404, 0.431\right]","\left[0.403, 0.43\right]","\left[0.402, 0.43\right]"
E4B [3H1L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
E4C [3H1L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
E4D [3H1L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
E5A [3H1L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,"\left[0.521, 0.523\right]","\left[0.516, 0.521\right]","\left[0.512, 0.519\right]","\left[0.508, 0.518\right]","\left[0.504, 0.516\right]","\left[0.501, 0.515\right]","\left[0.498, 0.514\right]","\left[0.495, 0.512\right]","\left[0.492, 0.511\right]","\left[0.489, 0.51\right]","\left[0.487, 0.509\right]","\left[0.484, 0.508\right]","\left[0.482, 0.507\right]","\left[0.479, 0.506\right]","\left[0.477, 0.505\right]","\left[0.475, 0.504\right]","\left[0.473, 0.503\right]","\left[0.471, 0.502\right]","\left[0.469, 0.502\right]","\left[0.468, 0.501\right]","\left[0.466, 0.5\right]","\left[0.464, 0.5\right]","\left[0.463, 0.5\right]","\left[0.461, 0.499\right]","\left[0.46, 0.498\right]","\left[0.458, 0.498\right]","\left[0.458, 0.497\right]","\left[0.457, 0.497\right]","\left[0.456, 0.496\right]","\left[0.454, 0.496\right]","\left[0.453, 0.495\right]","\left[0.452, 0.495\right]","\left[0.451, 0.494\right]","\left[0.45, 0.494\right]","\left[0.449, 0.493\right]","\left[0.448, 0.493\right]","\left[0.447, 0.492\right]","\left[0.446, 0.492\right]","\left[0.445, 0.492\right]","\left[0.444, 0.491\right]","\left[0.443, 0.491\right]","\left[0.443, 0.49\right]","\left[0.442, 0.49\right]","\left[0.441, 0.49\right]","\left[0.44, 0.489\right]","\left[0.44, 0.489\right]","\left[0.439, 0.489\right]","\left[0.438, 0.488\right]","\left[0.438, 0.488\right]","\left[0.437, 0.488\right]","\left[0.436, 0.487\right]","\left[0.436, 0.487\right]","\left[0.435, 0.487\right]","\left[0.434, 0.487\right]","\left[0.434, 0.486\right]","\left[0.433, 0.486\right]","\left[0.433, 0.486\right]","\left[0.432, 0.485\right]","\left[0.432, 0.485\right]","\left[0.431, 0.485\right]","\left[0.431, 0.485\right]","\left[0.43, 0.485\right]","\left[0.43, 0.484\right]"
E5B [3H1L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
E6A [3H1L],"\left[0.559, 1\right]","\left[0.555, 1\right]","\left[0.551, 1\right]","\left[0.547, 1\right]","\left[0.543, 1\right]","\left[0.541, 1\right]","\left[0.538, 1\right]","\left[0.536, 1\right]","\left[0.533, 1\right]","\left[0.531, 1\right]","\left[0.529, 1\right]","\left[0.526, 1\right]","\left[0.525, 1\right]","\left[0.523, 1\right]","\left[0.521, 1\right]","\left[0.519, 1\right]","\left[0.518, 1\right]","\left[0.516, 1\right]","\left[0.515, 1\right]","\left[0.514, 1\right]","\left[0.512, 1\right]","\left[0.511, 1\right]","\left[0.51, 1\right]","\left[0.509, 1\right]","\left[0.508, 1\right]","\left[0.507, 1\right]","\left[0.506, 1\right]","\left[0.505, 1\right]","\left[0.504, 1\right]","\left[0.503, 1\right]","\left[0.502, 1\right]","\left[0.502, 1\right]","\left[0.501, 1\right]","\left[0.5, 1\right]","\left[0.5, 1\right]","\left[0.5, 1\right]","\left[0.499, 1\right]","\left[0.498, 1\right]","\left[0.498, 1\right]","\left[0.497, 1\right]","\left[0.497, 1\right]","\left[0.496, 1\right]","\left[0.496, 1\right]","\left[0.495, 1\right]","\left[0.495, 1\right]","\left[0.494, 1\right]","\left[0.494, 1\right]","\left[0.493, 1\right]","\left[0.493, 1\right]","\left[0.492, 1\right]","\left[0.492, 1\right]","\left[0.492, 1\right]","\left[0.491, 1\right]","\left[0.491, 1\right]","\left[0.49, 1\right]","\left[0.49, 1\right]","\left[0.49, 1\right]","\left[0.489, 1\right]","\left[0.489, 1\right]","\left[0.489, 1\right]","\left[0.488, 1\right]","\left[0.488, 1\right]","\left[0.488, 1\right]","\left[0.487, 1\right]","\left[0.487, 1\right]","\left[0.487, 1\right]","\left[0.487, 1\right]","\left[0.486, 1\right]","\left[0.486, 1\right]","\left[0.486, 1\right]","\left[0.485, 1\right]","\left[0.485, 1\right]","\left[0.485, 1\right]","\left[0.485, 1\right]","\left[0.485, 1\right]","\left[0.484, 1\right]"
